date,indicator,value,entity
2021-01-12,Daily hospital occupancy,4868,Canada
2021-01-13,Daily hospital occupancy,4863,Canada
2021-01-14,Daily hospital occupancy,4805,Canada
2021-01-15,Daily hospital occupancy,4708,Canada
2021-01-16,Daily hospital occupancy,4661,Canada
2021-01-17,Daily hospital occupancy,4718,Canada
2021-01-18,Daily hospital occupancy,4690,Canada
2021-01-19,Daily hospital occupancy,4565,Canada
2021-01-20,Daily hospital occupancy,4494,Canada
2021-01-21,Daily hospital occupancy,4407,Canada
2021-01-22,Daily hospital occupancy,4336,Canada
2021-01-23,Daily hospital occupancy,4212,Canada
2021-01-24,Daily hospital occupancy,4232,Canada
2021-01-25,Daily hospital occupancy,4163,Canada
2021-01-26,Daily hospital occupancy,4039,Canada
2021-01-27,Daily hospital occupancy,3949,Canada
2021-01-28,Daily hospital occupancy,3868,Canada
2021-01-29,Daily hospital occupancy,3704,Canada
2021-01-30,Daily hospital occupancy,3664,Canada
2021-01-31,Daily hospital occupancy,3657,Canada
2021-02-01,Daily hospital occupancy,3484,Canada
2021-02-02,Daily hospital occupancy,3527,Canada
2021-02-03,Daily hospital occupancy,3392,Canada
2021-02-04,Daily hospital occupancy,3277,Canada
2021-02-05,Daily hospital occupancy,3141,Canada
2021-02-06,Daily hospital occupancy,3081,Canada
2021-02-07,Daily hospital occupancy,3125,Canada
2021-02-08,Daily hospital occupancy,3016,Canada
2021-02-09,Daily hospital occupancy,2936,Canada
2021-02-10,Daily hospital occupancy,2781,Canada
2021-02-11,Daily hospital occupancy,2674,Canada
2021-02-12,Daily hospital occupancy,2587,Canada
2021-02-13,Daily hospital occupancy,2571,Canada
2021-02-14,Daily hospital occupancy,2579,Canada
2021-02-15,Daily hospital occupancy,2501,Canada
2021-02-16,Daily hospital occupancy,2545,Canada
2021-02-17,Daily hospital occupancy,2447,Canada
2021-02-18,Daily hospital occupancy,2409,Canada
2021-02-19,Daily hospital occupancy,2341,Canada
2021-02-20,Daily hospital occupancy,2315,Canada
2021-02-21,Daily hospital occupancy,2342,Canada
2021-02-22,Daily hospital occupancy,2300,Canada
2021-02-23,Daily hospital occupancy,2294,Canada
2021-02-24,Daily hospital occupancy,2213,Canada
2021-02-25,Daily hospital occupancy,2184,Canada
2021-02-26,Daily hospital occupancy,2112,Canada
2021-02-27,Daily hospital occupancy,2122,Canada
2021-02-28,Daily hospital occupancy,2132,Canada
2021-03-01,Daily hospital occupancy,2143,Canada
2021-03-02,Daily hospital occupancy,2109,Canada
2021-03-03,Daily hospital occupancy,2108,Canada
2021-03-04,Daily hospital occupancy,2067,Canada
2021-03-05,Daily hospital occupancy,2051,Canada
2021-03-06,Daily hospital occupancy,2055,Canada
2021-03-07,Daily hospital occupancy,2106,Canada
2021-03-08,Daily hospital occupancy,2041,Canada
2021-03-09,Daily hospital occupancy,2108,Canada
2021-03-10,Daily hospital occupancy,2062,Canada
2021-03-11,Daily hospital occupancy,2079,Canada
2021-03-12,Daily hospital occupancy,2054,Canada
2021-03-13,Daily hospital occupancy,2095,Canada
2021-03-14,Daily hospital occupancy,2150,Canada
2021-03-15,Daily hospital occupancy,2123,Canada
2021-03-16,Daily hospital occupancy,2132,Canada
2021-03-17,Daily hospital occupancy,2148,Canada
2021-03-18,Daily hospital occupancy,2153,Canada
2021-03-19,Daily hospital occupancy,2177,Canada
2021-03-20,Daily hospital occupancy,2216,Canada
2021-03-21,Daily hospital occupancy,2235,Canada
2021-03-22,Daily hospital occupancy,2323,Canada
2021-03-23,Daily hospital occupancy,2336,Canada
2021-03-24,Daily hospital occupancy,2332,Canada
2021-03-25,Daily hospital occupancy,2403,Canada
2021-03-26,Daily hospital occupancy,2385,Canada
2021-03-27,Daily hospital occupancy,2417,Canada
2021-03-28,Daily hospital occupancy,2483,Canada
2021-03-29,Daily hospital occupancy,2559,Canada
2021-03-30,Daily hospital occupancy,2572,Canada
2021-03-31,Daily hospital occupancy,2597,Canada
2021-04-01,Daily hospital occupancy,2613,Canada
2021-04-02,Daily hospital occupancy,2706,Canada
2021-04-03,Daily hospital occupancy,2794,Canada
2021-04-04,Daily hospital occupancy,2881,Canada
2021-04-05,Daily hospital occupancy,3016,Canada
2021-04-06,Daily hospital occupancy,3069,Canada
2021-04-07,Daily hospital occupancy,3129,Canada
2021-04-08,Daily hospital occupancy,3185,Canada
2021-04-09,Daily hospital occupancy,3284,Canada
2021-04-10,Daily hospital occupancy,3447,Canada
2021-04-11,Daily hospital occupancy,3594,Canada
2021-04-12,Daily hospital occupancy,3699,Canada
2021-04-13,Daily hospital occupancy,3806,Canada
2021-04-14,Daily hospital occupancy,3847,Canada
2021-04-15,Daily hospital occupancy,3956,Canada
2021-04-16,Daily hospital occupancy,4104,Canada
2021-04-17,Daily hospital occupancy,4201,Canada
2021-04-18,Daily hospital occupancy,4330,Canada
2021-04-19,Daily hospital occupancy,4345,Canada
2021-04-20,Daily hospital occupancy,4435,Canada
2021-04-21,Daily hospital occupancy,4424,Canada
2021-04-22,Daily hospital occupancy,4421,Canada
2021-04-23,Daily hospital occupancy,4393,Canada
2021-04-24,Daily hospital occupancy,4449,Canada
2021-04-25,Daily hospital occupancy,4485,Canada
2021-04-26,Daily hospital occupancy,4470,Canada
2021-04-27,Daily hospital occupancy,4433,Canada
2021-04-28,Daily hospital occupancy,4354,Canada
2021-04-29,Daily hospital occupancy,4310,Canada
2021-04-30,Daily hospital occupancy,4269,Canada
2021-05-01,Daily hospital occupancy,4325,Canada
2021-05-02,Daily hospital occupancy,4376,Canada
2021-05-03,Daily hospital occupancy,4260,Canada
2021-05-04,Daily hospital occupancy,4160,Canada
2021-05-05,Daily hospital occupancy,4098,Canada
2021-05-06,Daily hospital occupancy,3996,Canada
